,tpep_pickup_datetime,DOM,DOW,HOD,bad_weather,date,is_holiday,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,lag14,lag15,lag16,lag17,lag18,lag19,lag20,lag21,lag22,lag23,lag24,trip_count
0,2018-07-02 00:00:00,2,0,0,0,2018-07-02,0,416,401,479,434,523,635,679,504,394,392,453,495,550,470,428,267,146,82,97,184,146,207,324,491,273
1,2018-07-02 01:00:00,2,0,1,0,2018-07-02,0,273,416,401,479,434,523,635,679,504,394,392,453,495,550,470,428,267,146,82,97,184,146,207,324,147
2,2018-07-02 02:00:00,2,0,2,0,2018-07-02,0,147,273,416,401,479,434,523,635,679,504,394,392,453,495,550,470,428,267,146,82,97,184,146,207,83
3,2018-07-02 03:00:00,2,0,3,0,2018-07-02,0,83,147,273,416,401,479,434,523,635,679,504,394,392,453,495,550,470,428,267,146,82,97,184,146,76
4,2018-07-02 04:00:00,2,0,4,0,2018-07-02,0,76,83,147,273,416,401,479,434,523,635,679,504,394,392,453,495,550,470,428,267,146,82,97,184,73
5,2018-07-02 05:00:00,2,0,5,0,2018-07-02,0,73,76,83,147,273,416,401,479,434,523,635,679,504,394,392,453,495,550,470,428,267,146,82,97,84
6,2018-07-02 06:00:00,2,0,6,0,2018-07-02,0,84,73,76,83,147,273,416,401,479,434,523,635,679,504,394,392,453,495,550,470,428,267,146,82,124
7,2018-07-02 07:00:00,2,0,7,0,2018-07-02,0,124,84,73,76,83,147,273,416,401,479,434,523,635,679,504,394,392,453,495,550,470,428,267,146,200
8,2018-07-02 08:00:00,2,0,8,0,2018-07-02,0,200,124,84,73,76,83,147,273,416,401,479,434,523,635,679,504,394,392,453,495,550,470,428,267,283
9,2018-07-02 09:00:00,2,0,9,0,2018-07-02,0,283,200,124,84,73,76,83,147,273,416,401,479,434,523,635,679,504,394,392,453,495,550,470,428,410
10,2018-07-02 10:00:00,2,0,10,0,2018-07-02,0,410,283,200,124,84,73,76,83,147,273,416,401,479,434,523,635,679,504,394,392,453,495,550,470,486
